"directorio","secuencia_p","orden","clase","dominio","age","sex","estrato1","p6210","p6240","mes","relab","p6426","p6870","p6920","p7040","p7070","y_total_m_ha","maxEducLevel","totalHoursWorked","formal","informal","cuentaPropia","microEmpresa","sizeFirm","y_total_m","college","depto","ingtot"
4514331,1,1,1,"BOGOTA",36,1,2,5,1,1,2,166,9,1,2,0,8404.3203125,6,45,1,0,0,0,5,1620833.25,1,11,1.84083333333333e-06
4514333,1,1,1,"BOGOTA",51,1,2,6,1,1,1,12,4,1,2,0,6703.3427734375,7,48,1,0,0,0,3,1378973.375,0,11,1.87897333333333e-06
4514334,1,1,1,"BOGOTA",45,1,2,3,1,1,1,15,3,1,2,0,3680.65405273438,4,56,1,0,0,1,2,883357,0,11,8.83357e-07
4514335,1,1,1,"BOGOTA",61,1,2,3,1,1,1,120,7,2,2,0,4083.33325195312,3,40,0,1,0,0,4,7e+05,0,11,1.2e-06
4514339,1,1,1,"BOGOTA",35,0,2,5,1,1,1,36,9,1,2,0,6317.5,6,40,1,0,0,0,5,1083000,1,11,1.083e-06
4514348,1,1,1,"BOGOTA",56,0,2,3,1,1,1,30,9,1,2,0,3990.27709960938,4,48,1,0,0,0,5,820857,0,11,8.20857e-07
4514349,1,3,1,"BOGOTA",23,1,2,6,1,1,1,51,9,1,2,0,5146.94482421875,7,40,1,0,0,0,5,882333.4375,0,11,1.22633341666667e-06
4514349,1,2,1,"BOGOTA",30,1,2,5,1,1,1,8,4,1,2,0,4104.10302734375,6,54,1,0,0,0,3,949806.6875,1,11,1.23780666666667e-06
4514350,1,1,1,"BOGOTA",50,0,2,6,1,1,4,72,1,2,2,0,2916.66674804688,7,48,0,1,1,1,1,6e+05,0,11,6e-07
4514350,1,2,1,"BOGOTA",28,1,2,6,1,1,1,24,9,1,2,0,4617.11572265625,7,48,1,0,0,0,5,949806.6875,0,11,9.49806666666667e-07
4514351,1,1,1,"BOGOTA",54,0,2,4,1,1,4,120,2,2,2,0,5303.0302734375,5,66,0,1,1,1,2,1500000,0,11,1.5e-06
4514354,1,2,1,"BOGOTA",33,0,2,6,1,1,1,24,4,1,2,0,7736.45849609375,7,48,1,0,0,0,3,1591500,0,11,1.5915e-06
4514354,1,1,1,"BOGOTA",38,1,2,5,1,1,1,96,9,1,2,0,3868.87915039062,6,48,1,0,0,0,5,795883.6875,1,11,7.95883666666667e-07
4514357,1,1,1,"BOGOTA",51,0,2,5,1,1,1,72,7,1,2,0,5617.2841796875,6,45,1,0,0,0,4,1083333.375,1,11,1.08333333333333e-06
4514359,1,1,1,"BOGOTA",43,1,2,6,1,1,1,24,9,1,2,0,17662.037109375,7,48,1,0,0,0,5,3633333.25,0,11,3.63333333333333e-06
4514360,1,2,1,"BOGOTA",47,1,2,5,1,1,4,204,1,1,2,0,4333.33349609375,6,70,1,0,1,1,1,1300000,1,11,1.3e-06
4514360,1,1,1,"BOGOTA",41,0,2,5,1,1,2,48,9,1,2,0,9682.205078125,6,40,1,0,0,0,5,1659806.625,1,11,1.65980666666667e-06
4514361,1,2,1,"BOGOTA",31,0,2,5,1,1,1,24,5,1,2,0,4019.57348632812,6,48,1,0,0,0,4,826883.6875,1,11,8.26883666666667e-07
4514361,1,3,1,"BOGOTA",36,1,2,4,1,1,1,156,5,1,2,0,4014.30737304688,5,48,1,0,0,0,4,825800.375,0,11,8.25800333333333e-07
4514364,1,2,1,"BOGOTA",42,0,2,5,1,1,3,12,1,1,2,0,5284.02783203125,6,48,1,0,0,1,1,1087000,1,11,1.087e-06
4514364,1,1,1,"BOGOTA",45,1,2,3,1,1,1,70,4,1,2,0,7777.77783203125,4,45,1,0,0,0,3,1500000,0,11,1.5e-06
4514364,1,3,1,"BOGOTA",20,1,2,6,1,1,1,4,9,1,2,0,3056.66674804688,7,60,1,0,0,0,5,786000,0,11,7.86e-07
4514365,1,1,1,"BOGOTA",49,1,2,5,1,1,1,36,5,1,2,0,6237.486328125,6,48,1,0,0,0,4,1283140,1,11,1.28314e-06
4514367,1,1,1,"BOGOTA",24,1,2,5,1,1,4,36,1,2,2,0,3305.5556640625,6,60,0,1,1,1,1,850000,1,11,8.5e-07
4514368,1,2,1,"BOGOTA",27,1,2,6,1,1,1,12,9,1,2,0,7406.33349609375,7,42,1,0,0,0,5,1333140,0,11,1.33314e-06
4514369,1,1,1,"BOGOTA",47,0,2,6,1,1,1,3,9,1,2,0,6342.59228515625,7,84,1,0,0,0,5,2283333.25,0,11,2.28333333333333e-06
4514369,1,2,1,"BOGOTA",55,1,2,4,1,1,4,360,1,1,2,0,8750,5,48,1,0,1,1,1,1800000,0,11,1.8e-06
4514371,1,1,1,"BOGOTA",29,1,2,5,1,1,1,18,2,2,2,0,3990.27709960938,6,48,0,1,0,1,2,820857,1,11,8.20857e-07
4514372,1,1,1,"BOGOTA",63,0,3,5,1,1,4,120,1,2,2,0,2430.5556640625,6,48,0,1,1,1,1,5e+05,1,11,1.3e-06
4514374,1,2,1,"BOGOTA",35,1,2,3,1,1,1,38,9,1,2,0,6304.75,4,56,1,0,0,0,5,1513140,0,11,1.51314e-06
4514374,1,1,1,"BOGOTA",56,0,2,5,1,1,1,142,9,1,2,0,4289.12109375,6,48,1,0,0,0,5,882333.4375,1,11,8.82333416666667e-07
4514375,1,1,1,"BOGOTA",53,0,2,5,1,1,1,112,9,1,2,0,6197.91650390625,6,48,1,0,0,0,5,1275000,1,11,1.275e-06
